Date,Name,Year,Letterboxd URI,Rating
2023-02-19,Gone Girl,2014,https://boxd.it/6hQu,4
2023-06-26,The King of Comedy,1982,https://boxd.it/2aJS,4
2023-06-26,Life of Pi,2012,https://boxd.it/37pC,3
2023-06-27,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,3.5
2023-06-27,Bullet Train,2022,https://boxd.it/qW26,4.5
2023-06-30,Come and See,1985,https://boxd.it/1w9q,4.5
2023-11-23,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,3.5
2023-11-23,Good Boy,2022,https://boxd.it/B9LI,1.5
2023-12-04,The Second Mother,2015,https://boxd.it/9Ydm,4
2023-12-04,Misery,1990,https://boxd.it/28gY,4.5
2023-12-06,Manchester by the Sea,2016,https://boxd.it/b2L0,0.5
2023-12-12,Being John Malkovich,1999,https://boxd.it/2ahu,3
2023-12-15,Nocturnal Animals,2016,https://boxd.it/bkFu,4
2023-12-21,Just Friends,2005,https://boxd.it/1XfA,2.5
2023-12-21,The Killer,2023,https://boxd.it/u6WE,5
2023-12-23,My Sweet Orange Tree,2013,https://boxd.it/5M5C,4
2023-12-26,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.5
2023-12-26,Willy's Wonderland,2021,https://boxd.it/nTcG,1.5
2023-12-26,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2023-12-26,Beau Is Afraid,2023,https://boxd.it/u2gE,3
2023-12-26,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2023-12-27,Lars and the Real Girl,2007,https://boxd.it/21tG,5
2023-12-28,Leave the World Behind,2023,https://boxd.it/re0i,3.5
2023-12-30,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,4
2024-01-01,A Wolf at the Door,2013,https://boxd.it/6nHy,3.5
2024-01-02,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2024-01-06,Central Station,1998,https://boxd.it/29RG,5
2024-01-10,Jumper,2008,https://boxd.it/20ss,2
2024-01-10,Audition,1999,https://boxd.it/1UHm,3.5
2024-01-22,The Nutty Professor,1996,https://boxd.it/1YXI,1.5
2024-01-23,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,4.5
2024-01-25,Sorry to Bother You,2018,https://boxd.it/f21E,3.5
2024-01-25,Airplane!,1980,https://boxd.it/29yu,5
2024-01-31,When Evil Lurks,2023,https://boxd.it/rXBe,4
2024-01-31,Lamb,2021,https://boxd.it/tFwE,2
2024-01-31,Big Fish,2003,https://boxd.it/2a3M,3.5
2024-02-05,Shutter Island,2010,https://boxd.it/1U82,5
2024-02-10,Interstellar,2014,https://boxd.it/4VZ8,4.5
2024-02-19,Miller's Girl,2024,https://boxd.it/CP8U,0.5
2024-02-21,Obsessed,2009,https://boxd.it/1IOU,2
2024-04-08,The Lobster,2015,https://boxd.it/7tnw,4.5
2024-04-27,Late Night with the Devil,2023,https://boxd.it/zo6G,3
2024-04-27,Bubble Boy,2001,https://boxd.it/1Y3U,3
2024-04-28,American History X,1998,https://boxd.it/2bdo,4
2024-05-02,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2024-05-15,The Hunt,2012,https://boxd.it/3wEC,5
2024-06-20,Whiplash,2014,https://boxd.it/7bQA,3
2024-06-24,Juliana contra o Jambeiro do Diabo Pelo Coração de João Batista,2012,https://boxd.it/iy76,3.5
2024-06-25,The Wicker Man,1973,https://boxd.it/1KnG,3
2024-07-02,A Man Amidst Bees,2015,https://boxd.it/8c40,4
2024-07-02,Califórnia,2015,https://boxd.it/cnBi,2
2024-07-03,No Country for Old Men,2007,https://boxd.it/21ew,3
2024-07-03,Central Intelligence,2016,https://boxd.it/9DFE,2
2024-07-04,Lawrence of Arabia,1962,https://boxd.it/2wRE,5
2024-07-09,No Hard Feelings,2023,https://boxd.it/xouu,2.5
2024-07-09,The 36th Chamber of Shaolin,1978,https://boxd.it/1SXC,4
2024-07-10,Eyes Wide Shut,1999,https://boxd.it/2axs,1.5
2024-07-10,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,3
2024-07-11,Spy Kids,2001,https://boxd.it/1Xcw,2.5
2024-07-12,Reflections of a Blender,2010,https://boxd.it/4YgA,4
2024-07-12,The Skin I Live In,2011,https://boxd.it/99A,4.5
2024-07-12,Fatal Attraction,1987,https://boxd.it/1UTC,3
2024-07-13,Problem Child,1990,https://boxd.it/1UH2,2
2024-07-13,Stories of Samba,2023,https://boxd.it/J3us,1.5
2024-07-15,Green Book,2018,https://boxd.it/hErk,3.5
2024-07-15,Four Days in September,1997,https://boxd.it/1Cd4,3.5
2024-07-15,The Fall Guy,2024,https://boxd.it/s0Bm,4.5
2024-07-16,Lisbela and the Prisoner,2003,https://boxd.it/zdS,1.5
2024-07-16,The Witch,2015,https://boxd.it/9X0m,4
2024-07-17,Moonrise Kingdom,2012,https://boxd.it/2Wng,5
2024-07-18,The Rifleman of the Voroshilov Regiment,1999,https://boxd.it/2rCO,2
2024-07-19,Nights of Cabiria,1957,https://boxd.it/1F7e,5
2024-07-22,Dune,2021,https://boxd.it/fA7G,3
2024-07-27,Taken,2008,https://boxd.it/1ZXa,3.5
2024-07-28,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3.5
2024-07-29,Die Hard,1988,https://boxd.it/2a7u,4
